City;District;Province;Population;Latitude;Longitude
Śrem;powiat śremski;wielkopolskie;29176;52,09;17,01
Giżycko;powiat giżycki;warmińsko-mazurskie;28964;54,04;21,759
Krotoszyn;powiat krotoszyński;wielkopolskie;28701;51,7;17,43
Brodnica;powiat brodnicki;kujawsko-pomorskie;28701;53,259;19,399
Nowy Dwór Mazowiecki;powiat nowodworski;mazowieckie;28691;52,429;20,709
Czerwionka-Leszczyny;powiat rybnicki;śląskie;27888;50,17;18,68
Gorlice;powiat gorlicki;małopolskie;26973;49,67;21,159
Kętrzyn;powiat kętrzyński;warmińsko-mazurskie;26788;54,079;21,37
Zakopane;powiat tatrzański;małopolskie;26846;49,289;19,959
Turek;powiat turecki;wielkopolskie;26441;52,02;18,479
Kłodzko;powiat kłodzki;dolnośląskie;26421;50,439;16,659
Wyszków;powiat wyszkowski;mazowieckie;26980;52,599;21,449
Biłgoraj;powiat biłgorajski;lubelskie;26114;50,539;22,729
Jarocin;powiat jarociński;wielkopolskie;26225;51,979;17,499
Świecie;powiat świecki;kujawsko-pomorskie;25486;53,4;18,44
Pszczyna;powiat pszczyński;śląskie;25702;49,979;18,95
Żagań;powiat żagański;lubuskie;25265;51,619;15,299
Reda;powiat wejherowski;pomorskie;26707;54,62;18,34
Wągrowiec;powiat wągrowiecki;wielkopolskie;25607;52,81;17,2
Bielsk Podlaski;powiat bielski;podlaskie;25044;52,78;23,29
Skawina;powiat krakowski;małopolskie;24366;49,979;19,83
Kościan;powiat kościański;wielkopolskie;23716;52,09;16,639
Lubliniec;powiat lubliniecki;śląskie;23551;50,669;18,689
Kościerzyna;powiat kościerski;pomorskie;23778;54,13;17,97
Kobyłka;powiat wołomiński;mazowieckie;25149;52,339;21,2
Kluczbork;powiat kluczborski;opolskie;23254;50,98;18,209
Sandomierz;powiat sandomierski;świętokrzyskie;22997;50,689;21,74
Bartoszyce;powiat bartoszycki;warmińsko-mazurskie;22984;54,249;20,809
Wieliczka;powiat wielicki;małopolskie;24215;49,99;20,09
Szczytno;powiat szczycieński;warmińsko-mazurskie;22813;53,559;20,99
Środa Wielkopolska;powiat średzki;wielkopolskie;23672;52,22;17,27
Jawor;powiat jaworski;dolnośląskie;22462;51,06;16,2
Świebodzice;powiat świdnicki;dolnośląskie;22642;50,86;16,329
Piastów;powiat pruszkowski;mazowieckie;22559;52,209;20,92
Wieluń;powiat wieluński;łódzkie;21892;51,219;18,569
Polkowice;powiat polkowicki;dolnośląskie;22435;51,5;16,049
Łaziska Górne;powiat mikołowski;śląskie;22130;50,17;18,779
Nowa Ruda;powiat kłodzki;dolnośląskie;21643;50,59;16,5
Zambrów;powiat zambrowski;podlaskie;21921;52,98;22,239
Płońsk;powiat płoński;mazowieckie;21924;52,629;20,379
Lubartów;powiat lubartowski;lubelskie;21636;51,459;22,61
Koło;powiat kolski;wielkopolskie;21247;52,199;18,639
Grajewo;powiat grajewski;podlaskie;21709;53,65;22,44
Świebodzin;powiat świebodziński;lubuskie;21550;52,259;15,529
Mrągowo;powiat mrągowski;warmińsko-mazurskie;21302;53,88;21,3
Aleksandrów Łódzki;powiat zgierski;łódzkie;21754;51,82;19,299
Opoczno;powiat opoczyński;łódzkie;20746;51,379;20,28
Działdowo;powiat działdowski;warmińsko-mazurskie;21145;53,229;20,18
Lubań;powiat lubański;dolnośląskie;20723;51,119;15,28
Prudnik;powiat prudnicki;opolskie;20671;50,33;17,569
Orzesze;powiat mikołowski;śląskie;21290;50,16;18,779
Hajnówka;powiat hajnowski;podlaskie;20265;52,729;23,579
Józefów;powiat otwocki;mazowieckie;20741;52,15;21,26
Rawicz;powiat rawicki;wielkopolskie;20014;51,609;16,86
Andrychów;powiat wadowicki;małopolskie;19837;49,86;19,339
Gostyń;powiat gostyński;wielkopolskie;20250;51,879;17
Trzebinia;powiat chrzanowski;małopolskie;19507;50,16;19,45
Chełmno;powiat chełmiński;kujawsko-pomorskie;19205;53,35;18,429
Sulejówek;powiat miński;mazowieckie;19951;52,25;21,27
Bieruń;powiat bieruńsko-lędziński;śląskie;19375;50,1;19,1
Ozorków;powiat zgierski;łódzkie;19128;51,969;19,29
Pułtusk;powiat pułtuski;mazowieckie;19294;52,71;21,089
Końskie;powiat konecki;świętokrzyskie;18878;51,2;20,399
Pisz;powiat piski;warmińsko-mazurskie;19029;53,63;21,799
Tomaszów Lubelski;powiat tomaszowski;lubelskie;18783;50,459;23,419
Kamienna Góra;powiat kamiennogórski;dolnośląskie;18585;50,79;16,03
Łęczna;powiat łęczyński;lubelskie;18675;51,31;22,87
Sokołów Podlaski;powiat sokołowski;mazowieckie;18814;52,409;22,239
Krasnystaw;powiat krasnostawski;lubelskie;18383;50,99;23,179
Szamotuły;powiat szamotulski;wielkopolskie;18736;52,61;16,58
Wadowice;powiat wadowicki;małopolskie;18379;49,879;19,489
Kęty;powiat oświęcimski;małopolskie;18443;49,87;19,219
Chodzież;powiat chodzieski;wielkopolskie;18229;52,989;16,91
Gostynin;powiat gostyniński;mazowieckie;18355;53,43;19,43
Pyskowice;powiat gliwicki;śląskie;18455;50,41;18,62
Złotów;powiat złotowski;wielkopolskie;18437;53,359;17,03
Pionki;powiat radomski;mazowieckie;17902;51,49;21,459
Myślenice;powiat myślenicki;małopolskie;18325;49,839;19,939
Nakło nad Notecią;powiat nakielski;kujawsko-pomorskie;18026;53,139;17,599
Sokółka;powiat sokólski;podlaskie;17967;53,4;23,5
Oborniki;powiat obornicki;wielkopolskie;17848;52,65;16,809
Międzyrzecz;powiat międzyrzecki;lubuskie;17667;52,45;15,569
Konstantynów Łódzki;powiat pabianicki;łódzkie;18335;51,75;19,319
Sierpc;powiat sierpecki;mazowieckie;17788;52,86;19,65
Strzelce Opolskie;powiat strzelecki;opolskie;17657;50,52;18,299
Radlin;powiat wodzisławski;śląskie;17665;50,039;18,459
Łańcut;powiat łańcucki;podkarpackie;17675;50,069;22,229
Hrubieszów;powiat hrubieszowski;lubelskie;17232;50,81;23,889
Zielonka;powiat wołomiński;mazowieckie;17486;52,299;21,169
Bogatynia;powiat zgorzelecki;dolnośląskie;17037;50,919;14,96
Garwolin;powiat garwoliński;mazowieckie;17548;51,909;21,62
Rawa Mazowiecka;powiat rawski;łódzkie;17193;51,77;20,26
Pleszew;powiat pleszewski;wielkopolskie;16953;51,909;17,779
Łask;powiat łaski;łódzkie;16925;51,6;19,14
Kozienice;powiat kozienicki;mazowieckie;16877;51,59;21,55
Przasnysz;powiat przasnyski;mazowieckie;17055;53,01;20,879
Trzcianka;powiat czarnkowsko-trzcianecki;wielkopolskie;17009;53,04;16,459
Konstancin-Jeziorna;powiat piaseczyński;mazowieckie;16889;52,099;21,11
Libiąż;powiat chrzanowski;małopolskie;16838;50,1;19,29
Braniewo;powiat braniewski;warmińsko-mazurskie;16974;54,39;19,819
Łomianki;powiat warszawski zachodni;mazowieckie;17080;52,349;20,889
Bytów;powiat bytowski;pomorskie;16833;54,179;17,47
Sulechów;powiat zielonogórski;lubuskie;16592;52,09;15,62
Brzesko;powiat brzeski;małopolskie;16764;49,969;20,6
Lędziny;powiat bieruńsko-lędziński;śląskie;16731;50,13;19,059
Radzionków;powiat tarnogórski;śląskie;16903;50,39;18,889
Międzyrzec Podlaski;powiat bialski;lubelskie;16667;51,99;22,78
Słubice;powiat słubicki;lubuskie;16623;52,359;14,569
Grójec;powiat grójecki;mazowieckie;16785;51,879;20,859
Gubin;powiat krośnieński;lubuskie;16528;51,959;14,719
Namysłów;powiat namysłowski;opolskie;16622;51,079;17,719
Olecko;powiat olecki;warmińsko-mazurskie;16364;54,04;22,509
Krapkowice;powiat krapkowicki;opolskie;15962;50,479;17,96
Rypin;powiat rypiński;kujawsko-pomorskie;15999;53,069;19,41
Milanówek;powiat grodziski;mazowieckie;16478;52,13;20,659
Strzegom;powiat świdnicki;dolnośląskie;15873;50,959;16,35
Dęblin;powiat rycki;lubelskie;15887;51,569;21,83
Ustroń;powiat cieszyński;śląskie;15989;49,719;18,799
Busko-Zdrój;powiat buski;świętokrzyskie;15611;50,479;20,719
Ropczyce;powiat ropczycko-sędziszowski;podkarpackie;15864;50,069;21,749
Lidzbark Warmiński;powiat lidzbarski;warmińsko-mazurskie;15489;54,139;20,59
Jelcz-Laskowice;powiat oławski;dolnośląskie;15648;51,029;17,299
Radzyń Podlaski;powiat radzyński;lubelskie;15428;51,79;22,62
